variant,category,f1_mean,f1_std,f1_min
full_text,Insurance Claims,1.0,0.0,1.0
full_text,Investment Advisory,0.9880000000000001,0.04797958749641903,0.8
full_text,Account Management,0.976,0.05607159105656947,0.8
full_text,Loan Processing,0.956,0.11156280071511902,0.6666666666666666
full_text,Other,0.7266666666666666,0.4242640687119285,0.0
no_title,Insurance Claims,1.0,0.0,1.0
no_title,Investment Advisory,0.9840000000000001,0.05480950312357393,0.8
no_title,Loan Processing,0.9599999999999999,0.10942024088643866,0.6666666666666666
no_title,Account Management,0.9232857142857143,0.09442839720700397,0.75
no_title,Other,0.46666666666666656,0.4809288065886704,0.0
greeting_and_core,Insurance Claims,1.0,0.0,1.0
greeting_and_core,Loan Processing,1.0,0.0,1.0
greeting_and_core,Investment Advisory,0.9605714285714285,0.07611779818369153,0.8
greeting_and_core,Account Management,0.9143333333333333,0.10247243184063692,0.6666666666666666
greeting_and_core,Other,0.44,0.47709438020065553,0.0
core_only,Insurance Claims,0.9933333333333334,0.047140452079103175,0.6666666666666666
core_only,Investment Advisory,0.8424761904761903,0.13717426888943665,0.5
core_only,Account Management,0.815095238095238,0.14902432310794908,0.3333333333333333
core_only,Loan Processing,0.6719999999999999,0.4213874071905513,0.0
core_only,Other,0.04666666666666666,0.19059520091609047,0.0
subject_only,Insurance Claims,1.0,0.0,1.0
subject_only,Account Management,0.9534761904761905,0.08435265799172466,0.6666666666666666
subject_only,Investment Advisory,0.7293333333333334,0.15236989755818506,0.4
subject_only,Loan Processing,0.6653333333333332,0.40214616988119306,0.0
subject_only,Other,0.0,0.0,0.0
