variant,category,f1_mean,f1_std,f1_min
full_text,Account Management,0.9350476190476189,0.09499853252018897,0.6666666666666666
full_text,Insurance Claims,1.0,0.0,1.0
full_text,Investment Advisory,0.9253333333333333,0.1260889079118885,0.6666666666666666
full_text,Loan Processing,0.7266666666666667,0.42426406871192845,0.0
full_text,Other,0.602,0.38002327175428335,0.0
no_title,Account Management,0.9253333333333333,0.09638493175619779,0.6666666666666666
no_title,Insurance Claims,1.0,0.0,1.0
no_title,Investment Advisory,0.9493333333333334,0.10653052536464427,0.6666666666666666
no_title,Loan Processing,0.8333333333333335,0.35154340619603336,0.0
no_title,Other,0.596,0.40939311314241156,0.0
greeting_and_core,Account Management,0.738904761904762,0.20197644935426812,0.0
greeting_and_core,Insurance Claims,1.0,0.0,1.0
greeting_and_core,Investment Advisory,0.9493333333333334,0.10653052536464427,0.6666666666666666
greeting_and_core,Loan Processing,0.8333333333333333,0.35154340619603336,0.0
greeting_and_core,Other,0.43,0.35990991566264224,0.0
core_only,Account Management,0.5744761904761905,0.29362826413543736,0.0
core_only,Insurance Claims,0.92,0.24798507745317214,0.0
core_only,Investment Advisory,0.7819999999999999,0.23417825642512782,0.0
core_only,Loan Processing,0.5133333333333333,0.4724135933423203,0.0
core_only,Other,0.36404761904761906,0.23094023291665983,0.0
subject_only,Account Management,0.9354285714285715,0.10556788644178514,0.6666666666666666
subject_only,Insurance Claims,1.0,0.0,1.0
subject_only,Investment Advisory,0.6493333333333333,0.33205469046576874,0.0
subject_only,Loan Processing,0.6399999999999999,0.42506502103659805,0.0
subject_only,Other,0.5274285714285714,0.24129925826155563,0.0
generic_salutation,Account Management,0.8325714285714284,0.20734881353268905,0.0
generic_salutation,Insurance Claims,1.0,0.0,1.0
generic_salutation,Investment Advisory,0.7553333333333333,0.28023394826401243,0.0
generic_salutation,Loan Processing,0.44,0.4735163007488021,0.0
generic_salutation,Other,0.4161904761904762,0.28817052402001675,0.0
