condition,bin_low,bin_high,mean_confidence,empirical_accuracy,count
raw,0.2,0.30000000000000004,0.2742141957574308,0.8775510204081632,147
raw,0.30000000000000004,0.4,0.33941329931011754,1.0,198
raw,0.4,0.5,0.44162550857861216,1.0,62
raw,0.5,0.6000000000000001,0.5323419073292143,1.0,33
calibrated,0.2,0.30000000000000004,0.27785619146567103,0.0,3
calibrated,0.30000000000000004,0.4,0.3586220849660171,0.68,25
calibrated,0.4,0.5,0.4516091942752089,0.975,40
calibrated,0.5,0.6000000000000001,0.551501663489511,1.0,119
calibrated,0.6000000000000001,0.7000000000000001,0.6418387809796435,1.0,135
calibrated,0.7000000000000001,0.8,0.7494429776240986,1.0,81
calibrated,0.8,0.9,0.830792693669415,1.0,37
