threshold,coverage,accuracy_auto_routed,accuracy_reviewed,n_reviewed
0.3,0.9931818181818182,0.9794050343249427,0.0,3
0.35,0.9704545454545455,0.9929742388758782,0.3076923076923077,13
0.4,0.9363636363636364,0.9975728155339806,0.6071428571428571,28
0.45,0.8909090909090909,1.0,0.75,48
0.5,0.8454545454545455,1.0,0.8235294117647058,68
0.55,0.7136363636363636,1.0,0.9047619047619048,126
0.6,0.575,1.0,0.9358288770053476,187
0.65,0.3795454545454545,1.0,0.9560439560439561,273
0.7,0.2681818181818182,1.0,0.9627329192546584,322
0.75,0.175,1.0,0.9669421487603306,363
0.8,0.08409090909090909,1.0,0.9702233250620348,403
